unique_flight_id,flight_number,airline_name,airline_iata,destination,total_changes,total_delay_minutes,avg_delay_minutes,max_delay_minutes,change_count,last_estimated,last_scheduled
AA-AA 2480-20250420-STL,AA 2480,American Airlines,AA,Saint Louis,4,5920.0,40.0,177.0,148,2025-04-20 15:03:00+00:00,2025-04-20 15:03:00+00:00
AA-AA 2480-20250420-STL,AA 2480,American,AA,Saint Louis,4,5920.0,40.0,177.0,148,2025-04-20 15:03:00+00:00,2025-04-20 15:03:00+00:00
AA-AA 1774-20250420-EUG,AA 1774,American,AA,Eugene,2,0.0,0.0,140.0,178,2025-04-20 17:19:00+00:00,2025-04-20 17:19:00+00:00
OO-OO 6451-20250420-HOU,OO 6451,SkyWest Airlines,OO,Houston,2,4247.0,68.5,91.0,62,2025-04-20 13:46:00+00:00,2025-04-20 13:00:00+00:00
MQ-MQ 3580-20250420-MEM,MQ 3580,Envoy Air,MQ,Memphis,2,0.0,0.0,71.0,104,2025-04-20 13:46:00+00:00,2025-04-20 12:35:00+00:00
AA-AA 2050-20250420-SAN,AA 2050,American,AA,San Diego,4,0.0,0.0,69.0,424,2025-04-20 14:59:00+00:00,2025-04-20 14:59:00+00:00
AA-AA 442-20250420-LAX,AA 442,American,AA,Los Angeles,2,10235.0,57.5,60.0,178,2025-04-20 17:25:00+00:00,2025-04-20 16:25:00+00:00
AA-AA 3105-20250420-MSP,AA 3105,American,AA,Minneapolis,2,0.0,0.0,58.0,178,2025-04-20 17:17:00+00:00,2025-04-20 17:17:00+00:00
AA-AA 5475-20250420-HSV,AA 5475,American,AA,Huntsville,2,0.0,0.0,57.0,178,2025-04-20 17:08:00+00:00,2025-04-20 17:08:00+00:00
AA-AA 1385-20250420-SJD,AA 1385,American,AA,San José del Cabo,2,0.0,0.0,46.0,178,2025-04-20 17:24:00+00:00,2025-04-20 17:24:00+00:00
